"","category","ratio","pvalue","p.adjust","qvalue","ID","GeneRatio","BgRatio","Count","geneID"
"1","ko03032  DNA replication proteins",1.38882990687545,3.09230604065165e-09,9.89537933008528e-08,7.48663567736715e-08,"ko03032","114/11131","137/18578",114,"dnmt1/mcm2/pcna/rpa1/mcm5/lig1/mcm3/parp4/mcm4/mcm7/ccnb1/fen1/mcm6/rpa3/orc3/pold1/gins4/rfc2/rpa2/gins2/pola2/top2a/cdk2/ccna2/pola1/cdc6/cdk1/ccnb3/pole/LOC121910233/rfc3/pold2/orc5/gins1/rfc4/rfc5/snrpd2/snrpd3l/orc1/blm/pif1/rnaseh2a/pold3/rfc1/pole2/puraa/polg/prim1/gins3/prim2/mcm10/cul4a/snrpe/snrpd1/recql4/LOC121890481/cdc45/cdc7/mcm8/pold4/LOC121903834/dna2/snrpf/snrpg/snrpb/zgc:173742/exo1/pole3/usp19/ccne2/rtel1/rif1/orc4/mcm9/cdt1/smg5/gmnn/LOC121902957/gar1/rufy2/rnaseh2c/parp3/tert/terf1/pole4/purab/dnmt3ab/polg2/LOC121882237/zgc:110269/smg6/nbn/ccne1/LOC121899181/sox7/cul4b/top1a/tinf2/pign/LOC121894652/LOC121912695/ercc4/LOC121904015/pot1/mrps34/orc2/atm/parp1/parp2/rnaseh1/top2b/ccnl1a/nop10/purbb"
"2","ko03110  Chaperones and folding catalysts",1.27631891854756,1.44691596742871e-08,2.31506554788594e-07,1.75152985530844e-07,"ko03110","195/11131","255/18578",195,"hsp90aa1.1/p4hb/LOC121909298/hsp90b1/hspb8/serpinh1a/hyou1/pdia4/unc45b/serpinh1b/dnajc7/clu/canx/hspa5/pdia6/pdia3/fkbp7/LOC121903668/hsp90aa1.2/txn/tgfb1a/hsc70/fkbp4/dnajb2/dnajb13/txndc5/dnajb11/serpinh2/pdia5/fkbp9/dnajc9/bag3/dnajc10/LOC121881350/tpp1/fkbp11/dnajc3b/dnajc1/LOC121910100/zgc:92429/hspa13/calr/ppib/sec63/LOC121912182/inhbb/dnaja/clpb/LOC121910655/hsp90ab1/arf3a/hspa1b/cct7/fkbp2/ctss2.1/hspa4b/ppil1/LOC121895647/fkbp10b/LOC121906130/LOC121890907/ctsa/LOC121909827/hspa8b/LOC121907980/fkbp8/p3h3/hspa4l/hspb7/furina/dnajc3a/trap1/ppiaa/ctsc/ranbp2/dnajc14/unc45a/fkbp1ab/ppil4/dnajc15/ppid/hspbp1/dnaja2a/ppih/dnajc5gb/nagk/fkbpl/LOC121884463/dnajc18/rrp8/dnajc21/bcl3/cct6a/LOC121884464/hexb/LOC121913803/dnajc4/gak/LOC121912973/htra1b/dnajc16l/fkbp14/pin1/dnajb14/p3h2/cdc37l1/ngfa/dnajc28/dnajb9a/dnajb4/bag1/htra4/hspa9/stip1/gba3/dnajc2/mbtps1/tmx3b/pcsk5b/ctsba/dnaja2b/pcsk9/dnajb5/vwf/ppie/dnajc27/mettl21e/inhbaa/pfdn5/ppil3/ppig/fkbp1b/LOC121884518/pfdn2/dnajc5ab/bag4/LOC121884465/ppil6/LOC121897032/ppwd1/spg7/cwc27/pfdn4/hspb11/dnajb12a/dnaja1/pfdn1/dnajb1a/p3h1/glrx5/fkbp10a/cct2/LOC121898398/LOC121884079/mkks/pin4/LOC121883956/rabggtb/p3h4/ppiab/LOC121894172/ppil2/tm2d2/bag2/grpel1/clpxb/LOC121911736/dnajc5ga/LOC121913021/glrx/LOC121896246/hspbap1/dnajc8/tpp2/dnajc25/afg3l2/pfdn6/snrpa1/glrx2/prkra/dnaja3a/fkbp3/LOC121881578/med10/nktr/hspa4a/pcsk7/spata6/LOC121887472/fkbp5/stub1/cct4/LOC121909369/hspb1/cct5"
"3","ko03051  Proteasome",1.39086035995568,3.1461815834499e-06,3.35592702234656e-05,2.5390237340122e-05,"ko03051","70/11131","84/18578",70,"hsp90aa1.1/hsp90aa1.2/hsc70/LOC121908096/LOC121884750/psmd8/psma2a/LOC121910100/psmd6/psmb1/LOC121903639/LOC121882939/LOC121910655/hsp90ab1/psma1/hspa1b/psmc5/hspa8b/LOC121895607/psmd1/psmb4/psmb7/pno1/ecpas/psmb6/psmb3/psmc4/psmd2/psma8/psma6a/LOC121882007/rad23ab/psma3/LOC121898740/adrm1/psmd14/psmc3/LOC121884463/ubqln4/LOC121883473/LOC121884464/psme2/LOC121884097/psmg4/psma5/psmb2/psmc6/psmd10/psmb8a/psmd12/LOC121913824/LOC121899173/psmd3/psma4/psme4b/LOC121913823/LOC121884465/LOC121906213/psmd7/psmc2/rad23b/ddi2/eif3eb/LOC121888151/psme1/psmb9a/LOC121904510/psmg1/psmg3/psmd11b"
"4","ko03041  Spliceosome",1.148172652501,6.03008472331498e-05,0.000482406777865198,0.000364978812200643,"ko03041","302/11131","439/18578",302,"LOC121912691/pabpc4/rbfox1l/LOC121906115/manf/hsc70/fkbp4/srsf1b/tcerg1b/LOC121901491/LOC121898608/hnrnpk/khdrbs1a/LOC121904691/LOC121911690/hnrnph1/ptbp1a/srpk3/si:ch73-138n13.1/snd1/qkia/hnrnpul1/thrap3a/tet1/serbp1b/LOC121910100/LOC121894159/cirbpa/b3gat3/tet2/cbx3b/LOC121898580/bub3/LOC121889973/LOC121885556/hnrnpm/LOC121910655/snupn/wdr83/e2f4/LOC121900668/LOC121885442/qki2/psma1/hspa1b/LOC121901490/srsf3a/LOC121913378/snrpd2/LOC121882496/snrpd3l/igf2bp3/ppil1/LOC121911792/hnrnpa3/LOC121889136/rbmx/LOC121886930/LOC121901979/u2af1/khdrbs1b/sf3b2/LOC121889523/hspa8b/LOC121910649/LOC121895600/fubp1/mbnl2/srsf9/LOC121912692/hnrnpl/slc30a7/LOC121882041/toe1/hnrnpa1b/hnrnpaba/sf3b4/rbm26/hnrnpub/LOC121880783/ppp1cc/ppil4/ppp1caa/ppid/elavl1a/hnrnpd/tet3/ddx39ab/thrap3b/zc3h18/gemin6/srek1/usp39/snrpe/snrpd1/xrcc6/b3glcta/prpf40a/ints4/ptbp1b/LOC121882570/ppih/srpk1b/lsm3/rbm4.3/aar2/prpf19/adarb1b/ilf2/snrpf/LOC121884463/snrpc/snrpg/snrpb/LOC121889408/dpf3/LOC121884464/LOC121884395/ybx1/srsf3b/gak/LOC121903507/acin1b/sf1/mbnl3/cbx3a/phf5a/taf15/cbx1a/lsm5/srsf2a/magoh/b3glctb/igf2bp1/LOC121909011/eftud2/si:ch211-114c17.1/LOC121881240/srsf1a/sf3a3/pspc1/sf3b5/rbm15/lsm6/LOC121887041/nit2/dhx32b/polr1c/hnrnph3/LOC121910760/rbm25b/slu7/ddx27/aqr/gemin5/rbm22/ppie/cdk11b/celf1/LOC121913273/gpatch1/LOC121896218/eif4a3/sona/smx5/dhx35/LOC121901446/prmt5/LOC121884002/LOC121884036/ints6/ppil3/ppig/celf4/rbm8a/cwc22/ints12/snrpa/LOC121908205/zmat2/zgc:158803/LOC121884518/lsm8/matr3l1.2/thoc5/LOC121884909/LOC121884465/rbm7/ppwd1/snrpb2/cwc27/rbm5/ppp1cab/LOC121910665/dhx9/sf3a2/tra2a/rbm15b/prpf4/snrnp25/srsf4/ddx23/LOC121892353/dhx15/dpf2/LOC121889285/LOC121908128/celf3a/u2af2a/sf3b1/msl2b/clk2a/LOC121885362/LOC121883624/dhx57/sfpq/ik/LOC121888912/ppil2/isy1/ncbp2/celf5a/yju2b/plrg1/bcas2/ints3/zcchc8/LOC121912560/snrnp40/ints5/clk4a/snrnp70/gemin8/rbm10/prpf38b/slx1b/LOC121907153/LOC121908382/LOC121890480/dhx30/rbm27/ctnnbl1/srsf5b/htatsf1/bud31/sart1/msl2a/rp9/LOC121881497/ddx42/ddx39b/gemin7/srsf10a/thoc7/rnf113a/dnajc8/nono/ilf3b/dhx16/nova1/LOC121890513/acin1a/puf60b/LOC121899224/snrpa1/e2f5/coil/fra10ac1/xab2/rbm17/rbm14b/LOC121906921/nktr/ddx20/mtrex/adar/fubp3/ppp1r8b/LOC121912702/hnrpkl/ccdc12/prpf8/lsm4/lsm7/msl1b/snrnp48/dazap1/rbm39a/prpf4bb/pnn/ints7/fkbp5/gpkow/stub1/srrm2/LOC121901481/snip1/scaf8/LOC121884827/LOC121881103/snw1/hspb1"
"5","ko03012  Translation factors",1.24801524190618,0.000714493910251178,0.00457276102560754,0.00345965472332149,"ko03012","83/11131","111/18578",83,"LOC121912691/LOC121894006/eef1g/eif4a2/LOC121908547/eif1axb/LOC121894235/gspt1/si:ch211-166a6.5/eif4e1c/cenpe/eif2s2/ighmbp2/eif2b3/si:dkey-19e4.5/LOC121900172/LOC121909631/LOC121911667/eif4g2a/LOC121912692/secisbp2l/abcf1/LOC121890536/LOC121894200/eif3ba/eif2b1/LOC121889464/eif4g1a/eefsec/n6amt1/eef1da/LOC121904020/eif3k/ovca2/abcf3/cluha/slit2/eif5a/eif2s1b/hemk1/eif4e2rs1/mterf3/etf1a/LOC121898492/gspt1l/eif2b4/eef1db/eif4g2b/eif4a3/eif2b5/eif5/dph3/gfm1/mtrf1/eif4e2/gfm2/eif3eb/trmt112/eif3g/LOC121883624/dhx57/LOC121896144/mtrf1l/mtif2/ptrh2/eif2a/eif6/mtif3/ptrh1/dph7/eif4ba/eif5b/eef1b2/LOC121912802/mterf2/eif3f/eif4eb/dph6/eif2s3/mterf4/dph5/eif3s10/eif3jb"
"6","ko02044  Secretion system",1.56471790495014,0.00321791537421838,0.0153452736999977,0.0116099110230245,"ko02044","15/11131","16/18578",15,"sec61a1/sec61b/sec62/srp14/sec61g/sec63/LOC121894019/dctd/srpra/srp9/srprb/srp54/srp72/srp19/srp68"
"7","ko01003  Glycosyltransferases",1.14611669146562,0.00335677862187449,0.0153452736999977,0.0116099110230245,"ko01003","160/11131","233/18578",160,"stt3a/LOC121907641/b4galt5/LOC121912345/b4galt1l/alg5/gys1/hnrnpk/LOC121887782/mpdu1b/LOC121905430/b3gnt5a/plod2/has1/pofut1/LOC121911223/fut8b/st8sia2/pofut2/galnt7/st8sia6/alg12/galnt1/cnn3a/b3gat3/gal3st2/fam3a/LOC121894669/st3gal3b/hs6st1a/usta/c1galt1c1/plod3/LOC121881793/plod1a/hs3st3b1b/st8sia1/LOC121897054/chst11/dpm1/alg6/pomt2/st6galnac/uggt1/b4galnt1a/b3gnt5b/poc1bl/b4gat1/uggt2/cercam/lfng/mgat1b/ugcg/LOC121912899/zgc:101663/pomgnt2/b3glcta/galnt18b/LOC121897083/colgalt1a/chpf2/LOC121905207/extl2/b3gnt2b/LOC121901253/eogt/b3galt2/LOC121910562/b4galt3/b3glctb/st6gal2a/large2/alg8/chst14/st3gal8/st3gal2/alg3/alg2/LOC121892290/alg9/st6galnac6/LOC121901197/xylt1/gxylt2/pigm/hs3st1/galnt12/mgat4a/LOC121897901/LOC121884836/ndst2a/alg13/hs2st1a/LOC121908505/b3galnt2/pigb/galnt11/b3galt8/LOC121911678/mfng/pomgnt1/chpfa/mgat1a/LOC121892141/fut11/galnt2/st3gal3a/pigv/b4galnt3b/chst1/LOC121901260/chst2b/mgat5/ugt5d1/LOC121906919/LOC121896390/st6galnac5b/LOC121896625/st8sia5/b4galt4/rfng/chsy3/LOC121887256/hs3st1l2/LOC121881850/LOC121884546/hs2st1b/LOC121895255/st3gal5/LOC121882348/st3gal4/LOC121912805/colgalt2b/chst6/galnt13/dpagt1/LOC121890586/gxylt1b/mgat2/LOC121909886/rxylt1/tmem60/pomt1/st6gal1/LOC121901833/chsy1/ext2/alg1/chst10/alg14/csgalnact2/mgat3b/hnrpkl/LOC121884996/poglut1/has2/alg10/chst7/LOC121897977/c1galt1b"
"8","ko04031  GTP-binding proteins",1.13021093816871,0.00592019270951608,0.0236807708380643,0.0179163726735355,"ko04031","172/11131","254/18578",172,"LOC121897560/LOC121886956/LOC121894458/rhoab/rap1aa/LOC121914132/LOC121895480/LOC121883468/rab31/rab24/LOC121911286/arf1/LOC121894035/LOC121895366/ralba/gng12a/sar1b/LOC121903626/LOC121882938/LOC121897444/rhogb/rab2a/rab34a/LOC121890872/ran/rab1ba/arl4aa/rhebl1/kras/rab41/rab1aa/arf2b/LOC121900713/rnd3a/rab12/LOC121899951/arl1/LOC121883841/LOC121899416/arl8ba/cdc42l/rras/LOC121890414/LOC121891117/rab14l/rab18a/arf6a/LOC121893854/gnai1/arf3a/rfc5/arl6/gnb2/rap2c/LOC121912898/LOC121908890/hrasb/rab11al/LOC121900032/LOC121893909/LOC121901074/LOC121895481/rab27a/rab5c/sf3b4/LOC121896379/LOC121895127/rras2/LOC121909227/LOC121885318/LOC121894039/LOC121893812/rac1a/zgc:55558/rhoub/rrad/rab23/rab7a/rhoua/sar1ab/LOC121903671/LOC121886525/rac3b/rab35b/arhgef6/LOC121912073/LOC121894742/LOC121903413/LOC121896034/LOC121898440/srprb/rab32a/arl9/arl5a/LOC121897394/LOC121891786/LOC121891971/LOC121899020/gng3/LOC121891820/LOC121908997/rab22a/gnb1b/gnav1/LOC121898386/trim23/rab13/LOC121900072/LOC121908160/LOC121885317/gng13a/ralaa/LOC121907309/rergla/rnd2/rhogd/nkiras2/rab38c/LOC121884808/zgc:162171/arl3b/LOC121897603/LOC121900198/arl5c/rab38b/rab42a/arl8bb/rab33ba/rheb/aldh3b1/LOC121913501/LOC121891183/gna11b/arl13b/zgc:101559/rab9a/rab4a/gng12b/rab10/arid4a/rasl12/rab40b/mrasa/arl4ca/cracr2ab/LOC121884852/LOC121908159/si:dkey-204f11.64/rhobtb4/rab11a/rab9b/LOC121903526/rab28/gnb5a/rab3b/rab4b/LOC121885628/diras1b/ift27/gng10/LOC121900200/LOC121893922/LOC121907477/LOC121886389/rem1/gna13b/LOC121887622/arf6b/si:ch211-286b5.5/LOC121910630/rab42b/arl2"
"9","ko03029  Mitochondrial biogenesis",1.09058189813743,0.009295660975938,0.0330512390255573,0.0250058716311783,"ko03029","296/11131","453/18578",296,"znf106a/hsp90aa1.1/LOC121881047/actc1a/vdac3/acta1b/acta1a/cpt1a2b/ulk2/slc25a28/hsp90aa1.2/pld7/actb2/actb1/dhtkd1/hsc70/ryr1b/nfe2l1b/bnip3lb/smurf1/sh3glb1a/LOC121883474/LOC121903406/calcoco2/pink1/LOC121885842/ryr3/LOC121910100/LOC121909650/LOC121882331/noa1/prkaa2/ppargc1a/LOC121912182/dnaja/LOC121910655/atg14/agfg1b/hsp90ab1/atg13/si:dkey-19e4.5/slc25a5/LOC121880795/hspa1b/LOC121907258/zgc:153993/pop1/myo5c/dnm1l/hspa8b/pif1/zgc:112271/map1lc3b/LOC121911428/sil1/LOC121908153/LOC121886398/nbr1a/polg/LOC121903410/eif4g2a/LOC121904289/snx25/LOC121897746/acaa2/ptcd1/dnajc15/tomm20a/sumo2a/LOC121890536/LOC121897193/nkpd1/acta2/LOC121894200/LOC121887022/dnaja2a/dars2/LOC121886528/sp1/nfe2l2a/foxred1/crebbpb/LOC121886397/atpaf2/rb1cc1/LOC121895833/tfb2m/nrip1b/vdac1/LOC121909763/LOC121899138/LOC121892156/LOC121884463/LOC121884464/mbtps2/lrrfip1a/fdx2/prkaa1/fundc1/becn1/chchd4a/agfg1a/atg9a/mffb/naa25/map1lc3a/cdc37l1/chchd3a/phb2b/pmpca/LOC121884124/timm22/LOC121890527/bnip3la/LOC121885847/hspa9/smtnl/mpc1/LOC121894752/fdxr/hcfc2/afg1la/letm2/LOC121901806/hcfc1a/eral1/tamm41/ndufaf7/supv3l1/mterf3/atg2a/dnaja2b/LOC121885235/LOC121887460/slc25a4/iscu/nfu1/lrpprc/LOC121881294/ethe1/cpt1b/rpp40/tomm34/LOC121893682/pde12/eif4g2b/tax1bp1a/LOC121908886/immt/pld3/smx5/LOC121906715/kti12/LOC121888193/timm17a/qrsl1/mfn2/zfyve28/ecsit/plpp6/gabarapl2/ktn1/guf1/dap3/LOC121884465/immp1l/LOC121892168/LOC121893923/tomm40/LOC121913976/iba57/LOC121887887/LOC121883588/mgme1/rpp38/birc2/ndufaf1/dnaja1/polg2/LOC121880594/ryr2a/atg7/timm8a/tmem70/atp23/creb1b/fastkd2/gfm1/tomm22/rars1/pmpcb/glrx5/dnlz/gfm2/LOC121881819/ttc19/LOC121913942/LOC121886711/ulk1b/atp5md/LOC121896321/atg9b/opa1/eci2/tax1bp1b/nedd4a/dhx57/esrra/ccdc90b/LOC121896144/mtch2/sqstm1/phb/tecpr1b/tomm5/samm50l/cstf3/LOC121909885/LOC121899181/si:dkey-110c1.10/grpel1/tomm6/mrps6/LOC121881346/atg10/timm44/LOC121909162/ulk1a/timm17b/LOC121887599/LOC121884122/mtif2/atg4b/tomm70a/htt/dhx30/mtg1/si:ch211-11n16.2/LOC121908996/atg16l1/pprc1/twnk/crtc1b/atg3/LOC121884400/sirt1/mtif3/zgc:56235/isca2/ppargc1b/tomm20b/gatb/LOC121891824/LOC121906740/ndufaf3/si:dkey-251i10.1/ptcd2/nubpl/crtc1a/ND6/mterf2/timm23a/LOC121889226/si:dkey-32e23.4/dnaja3a/tecpr1a/med10/LOC121899980/zgc:92606/gatc/nrf1/LOC121890155/LOC121887882/ttc14/polrmt/dennd6aa/LOC121893709/LOC121894829/timm8b/atg12/samm50/smurf2/trmt10c/mterf4/gabpb2a/atp5mj/LOC121887888/tomm7/timm50/ccnl1a/tfam/tomm40l/acad9/yy1b/LOC121883413/poldip2"
"10","ko01007  Amino acid related enzymes",1.17081379554478,0.0543664849207231,0.173972751746314,0.131624121387014,"ko01007","47/11131","67/18578",47,"tat/sptlc2b/gpt/LOC121905953/LOC121887267/sptlc1/alg12/alas1/madd/farsb/si:ch211-217a12.1/abat/qars1/got2b/aars1/vars2/psat1/eprs1/dars2/fars2/LOC121895901/kars1/aadat/vars1/hars/gpt2/sptlc3/pars2/LOC121887887/ears2/rars1/mars1/dars1/aars2/cars1/tars2/bcat2/oat/LOC121900184/farsa/tars1/cars2/nars2/mars2/LOC121900458/LOC121887888/LOC121912900"
